GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
RBM15B,29890,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.99,,21296072
RBM25,58517,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
RBM27,54439,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.18,,21296072
RBM3,5935,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.59,,21296072
RBM39,9584,Pulmonary edema of mountaineers,MESH:C535833,,Acetazolamide,5.11,,32226695
RBMS1,5937,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.77,,21296072
RBMS2,5939,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.12,,21296072
RBMX,27316,Pulmonary edema of mountaineers,MESH:C535833,,Acetazolamide,10.25,,32226695
RBMX,27316,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,10.25,,21296072
RBPJ,3516,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.7,,21296072
RBPMS,11030,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.61,,21296072
RBSN,64145,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.23,,21296072
RBX1,9978,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.79,,21296072
RCAN1,1827,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.51,,21296072
RCAN2,10231,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.74,,21296072
RCC1,1104,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.8,,21296072
RCC2,55920,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.74,,21296072
RCHY1,25898,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.94,,21296072
RDH10,157506,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.77,,21296072
RDH11,51109,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.77,,21296072
RDH12,145226,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.98,,21296072
